

Oregon (PST) SNOTEL Site Mt Hood Test Site - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jun 30 09:45:48 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
651,2023-06-03,19:00,    14.6,    77.4,    10.1,      34,
651,2023-06-03,20:00,    14.6,    77.5,     8.2,      34,
651,2023-06-03,21:00,    14.6,    77.5,     9.0,      33,
651,2023-06-03,22:00,    14.6,    77.6,     8.1,      33,
651,2023-06-03,23:00,    14.7,    77.6,     7.8,      34,
651,2023-06-04,00:00,    14.7,    77.8,     7.6,      52,
651,2023-06-04,01:00,    14.7,    77.7,     7.7,      34,
651,2023-06-04,02:00,    14.7,    77.7,     8.2,      34,
651,2023-06-04,03:00,    14.7,    77.8,     7.8,      34,
651,2023-06-04,04:00,    14.7,    77.8,     7.9,      34,
651,2023-06-04,05:00,    14.6,    77.8,     8.4,      34,
651,2023-06-04,06:00,    14.7,    77.8,     9.9,      52,
651,2023-06-04,07:00,    14.7,    77.8,    10.8,      33,
651,2023-06-04,08:00,    14.6,    77.8,    10.6,-99.9,
651,2023-06-04,09:00,    14.6,    77.7,    13.0,      31,
651,2023-06-04,10:00,    14.6,    77.7,    13.9,      55,
651,2023-06-04,11:00,    14.5,    77.6,    15.0,      32,
651,2023-06-04,12:00,    14.4,    77.6,    14.9,      32,
651,2023-06-04,13:00,    14.1,    77.4,    15.8,      30,
651,2023-06-04,14:00,    13.9,    77.4,    15.2,      30,
651,2023-06-04,15:00,    13.7,    77.3,    15.0,      30,
651,2023-06-04,16:00,    13.5,    77.3,    14.9,      30,
651,2023-06-04,17:00,    13.3,    77.3,    13.8,      30,
651,2023-06-04,18:00,    13.2,    77.4,    12.2,-99.9,
651,2023-06-04,19:00,    13.2,    77.4,    11.0,      30,
651,2023-06-04,20:00,    13.1,    77.4,    10.3,      30,
651,2023-06-04,21:00,    13.1,    77.4,    11.0,      30,
651,2023-06-04,22:00,    13.1,    77.6,    11.1,      30,
651,2023-06-04,23:00,    13.1,    77.6,    11.4,-99.9,
651,2023-06-05,00:00,    13.1,    77.8,    12.4,-99.9,
651,2023-06-05,01:00,    13.1,    77.6,    11.0,      30,
651,2023-06-05,02:00,    13.1,    77.6,    10.9,      30,
651,2023-06-05,03:00,    13.0,    77.6,    10.8,      30,
651,2023-06-05,04:00,    13.1,    77.7,    10.9,      30,
651,2023-06-05,05:00,    13.0,    77.7,    10.8,      30,
651,2023-06-05,06:00,    13.0,    77.7,    11.5,      29,
651,2023-06-05,07:00,    13.0,    77.7,    15.9,      29,
651,2023-06-05,08:00,    13.0,    77.7,    17.3,      28,
651,2023-06-05,09:00,    13.0,    77.7,    16.5,      28,
651,2023-06-05,10:00,    12.8,    77.6,    17.5,      27,
651,2023-06-05,11:00,    12.8,    77.5,    18.9,      28,
651,2023-06-05,12:00,    12.6,    77.4,    18.6,      27,
651,2023-06-05,13:00,    12.4,    77.3,    19.6,      27,
651,2023-06-05,14:00,    12.1,    77.2,    19.5,      25,
651,2023-06-05,15:00,    11.9,    77.2,    19.4,      26,
651,2023-06-05,16:00,    11.6,    77.2,    19.1,      24,
651,2023-06-05,17:00,    11.4,    77.1,    17.9,      26,
651,2023-06-05,18:00,    11.3,    77.2,    16.6,      25,
651,2023-06-05,19:00,    11.2,    77.2,    14.8,-99.9,
651,2023-06-05,20:00,    11.3,    77.2,    12.7,      62,
651,2023-06-05,21:00,    11.2,    77.4,    14.8,      25,
651,2023-06-05,22:00,    11.2,    77.4,    14.1,      19,
651,2023-06-05,23:00,    11.2,    77.4,    14.9,      26,
651,2023-06-06,00:00,    11.2,    77.8,    14.5,      25,
651,2023-06-06,01:00,    11.1,    77.5,    14.6,      25,
651,2023-06-06,02:00,    11.1,    77.5,    14.3,      26,
651,2023-06-06,03:00,    11.1,    77.4,    14.4,      26,
651,2023-06-06,04:00,    11.1,    77.5,    14.1,      25,
651,2023-06-06,05:00,    11.0,    77.6,    13.5,-99.9,
651,2023-06-06,06:00,    11.0,    77.5,    15.1,      25,
651,2023-06-06,07:00,    10.9,    77.5,    15.8,-99.9,
651,2023-06-06,08:00,    10.9,    77.5,    16.4,      24,
651,2023-06-06,09:00,    10.8,    77.5,    17.3,      55,
651,2023-06-06,10:00,    10.7,    77.4,    17.9,      23,
651,2023-06-06,11:00,    10.5,    77.4,    18.6,      22,
651,2023-06-06,12:00,    10.3,    77.3,    19.6,      22,
651,2023-06-06,13:00,    10.0,    77.2,    20.1,      21,
651,2023-06-06,14:00,     9.8,    77.2,    20.3,-99.9,
651,2023-06-06,15:00,     9.5,    77.1,    19.6,      21,
651,2023-06-06,16:00,     9.3,    77.0,    19.0,      21,
651,2023-06-06,17:00,     9.0,    77.1,    18.5,      21,
651,2023-06-06,18:00,     8.9,    77.0,    17.7,      21,
651,2023-06-06,19:00,     8.8,    77.1,    16.2,      15,
651,2023-06-06,20:00,     8.8,    77.2,    13.9,      20,
651,2023-06-06,21:00,     8.7,    77.2,    15.0,      15,
651,2023-06-06,22:00,     8.7,    77.4,    14.6,      21,
651,2023-06-06,23:00,     8.7,    77.4,    13.0,      21,
651,2023-06-07,00:00,     8.7,    77.8,    15.3,      20,
651,2023-06-07,01:00,     8.6,    77.4,    15.8,      21,
651,2023-06-07,02:00,     8.6,    77.4,    15.7,      20,
651,2023-06-07,03:00,     8.6,    77.4,    14.6,      20,
651,2023-06-07,04:00,     8.5,    77.5,    12.4,      20,
651,2023-06-07,05:00,     8.5,    77.5,    12.2,      21,
651,2023-06-07,06:00,     8.5,    77.6,    15.0,      20,
651,2023-06-07,07:00,     8.4,    77.5,    16.5,      19,
651,2023-06-07,08:00,     8.4,    77.5,    17.1,      19,
651,2023-06-07,09:00,     8.4,    77.4,    17.6,      18,
651,2023-06-07,10:00,     8.3,    77.4,    17.3,      18,
651,2023-06-07,11:00,     8.2,    77.4,    16.5,      19,
651,2023-06-07,12:00,     8.0,    77.4,    17.2,      19,
651,2023-06-07,13:00,     7.9,    77.3,    18.6,      18,
651,2023-06-07,14:00,     7.7,    77.2,    18.3,-99.9,
651,2023-06-07,15:00,     7.4,    77.2,    19.2,-99.9,
651,2023-06-07,16:00,     7.1,    77.1,    19.1,      16,
651,2023-06-07,17:00,     6.9,    77.1,    17.9,      16,
651,2023-06-07,18:00,     6.7,    77.1,    17.3,      18,
651,2023-06-07,19:00,     6.7,    77.1,    15.2,      18,
651,2023-06-07,20:00,     6.6,    77.2,    12.2,      18,
651,2023-06-07,21:00,     6.6,    77.3,    12.6,      18,
651,2023-06-07,22:00,     6.7,    77.4,    12.4,      17,
651,2023-06-07,23:00,     6.6,    77.4,    12.7,      18,
651,2023-06-08,00:00,     6.6,    77.8,    12.1,      17,
651,2023-06-08,01:00,     6.6,    77.4,    13.0,      18,
651,2023-06-08,02:00,     6.6,    77.5,    11.5,      17,
651,2023-06-08,03:00,     6.6,    77.5,    12.7,      18,
651,2023-06-08,04:00,     6.6,    77.5,    11.2,      17,
651,2023-06-08,05:00,     6.6,    77.5,    10.1,      17,
651,2023-06-08,06:00,     6.6,    77.5,    11.5,      17,
651,2023-06-08,07:00,     6.5,    77.6,    12.2,      17,
651,2023-06-08,08:00,     6.5,    77.5,    11.8,      16,
651,2023-06-08,09:00,     6.4,    77.5,    12.9,      16,
651,2023-06-08,10:00,     6.3,    77.5,    13.4,      15,
651,2023-06-08,11:00,     6.1,    77.4,    13.0,      16,
651,2023-06-08,12:00,     6.0,    77.4,    13.3,      16,
651,2023-06-08,13:00,     5.8,    77.4,    12.4,-99.9,
651,2023-06-08,14:00,     5.7,    77.3,    13.3,      14,
651,2023-06-08,15:00,     5.4,    77.3,    13.2,      15,
651,2023-06-08,16:00,     5.3,    77.3,    12.8,      15,
651,2023-06-08,17:00,     5.2,    77.3,    11.8,      15,
651,2023-06-08,18:00,     5.2,    77.4,    10.6,-99.9,
651,2023-06-08,19:00,     5.1,    77.4,     9.8,      15,
651,2023-06-08,20:00,     5.2,    77.4,     9.6,      15,
651,2023-06-08,21:00,     5.1,    77.5,     9.4,      15,
651,2023-06-08,22:00,     5.1,    77.5,    10.1,      15,
651,2023-06-08,23:00,     5.0,    77.5,    10.6,      15,
651,2023-06-09,00:00,     5.0,    77.8,     9.7,      15,
